Timestamp,1. ปัจจุบันท่านอายุ," 2. อายุงาน (ปี)
โปรดระบุเป็นตัวเลข เช่น 1 ปี 2 เดือน ระบุเป็น 1.2",3. ท่านทำงานอยู่ในหน่วยงานของรัฐหรือไม่,4. ตำแหน่งท่านในปัจจุบัน,5. ปัจจุบันท่านมีรายได้ต่อเดือน (โดยประมาณ),6. ภาระหนี้สินปัจจุบัน (โดยประมาณ),ท่านทราบหรือไม่ว่ารัฐบาลมีแนวคิดขยายอายุเกษียณราชการจากเดิม 60 ปี เป็น 65 ปี,ท่านทราบข้อมูลเกี่ยวกับนโยบายนี้จากแหล่งใด (ตอบได้มากกว่า 1 ข้อ),ท่านคิดว่าเหตุผลหลักที่รัฐบาลดำเนินนโยบายนี้คืออะไร (ตอบได้มากกว่า 1 ข้อ),1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่านโยบายขยายอายุเกษียณราชการเป็นประโยชน์ต่อภาครัฐและประเทศโดยรวม],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่าการเข้าสู่สังคมสูงวัยระดับสุดยอด ส่งผลให้เกิดการขาดแคลนบุคลากรภาครัฐในอนาคต],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่านโยบายขยายอายุเกษียณราชการ สามารถแก้ไขปัญหาการขาดแคลนบุคลากรภาครัฐได้],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่าการใช้เทคโนโลยีสามารถลดภาระงานของเจ้าหน้าที่รัฐได้ โดยไม่จำเป็นต้องคง/เพิ่มจำนวนบุคลากรภาครัฐ],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่างานราชการบางประเภทยังต้องอาศัยบุคลากรที่มีประสบการณ์ ไม่สามารถใช้เทคโนโลยีมาทดแทนได้ทั้งหมด],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านเห็นด้วยกับนโยบายขยายอายุเกษียณราชการ],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [1. ท่านคิดว่าข้าราชการอายุ 60 - 65 ปี สามารถทำงานได้อย่างมีประสิทธิภาพ],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [2. ท่านคิดว่าการขยายอายุเกษียณราชการเป็นการลดโอกาสจ้างงานเด็กจบใหม่],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [3. ท่านคิดว่าการจ้างงานบุคคลที่มีประสบการณ์ ส่งผลให้รัฐลดต้นทุนในการฝึก/สอนงานบุคลากรที่ไม่มีประสบการณ์],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [4. ท่านคิดว่าการขยายอายุเกษียณราชการเป็นภาระงบประมาณ เนื่องจากบุคลากรที่มีอายุมาก จะมีอัตราเงินเดือนสูงกว่าราชการบรรจุใหม่],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [5. ท่านคิดว่าการทำงานกับบุคลากรอายุ 60 - 65 ปี อาจมีความท้าทายในการประสานงาน],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [6. ท่านคิดว่าการจ้างงานบุคลากรอายุมากกว่า 60 ปี ส่งผลให้ผู้สูงอายุรู้สึกมีคุณค่าในตัวเอง],3. ความคิดเห็นต่อผลกระทบของตนเอง [1. ท่านคิดว่านโยบายนี้ทำให้โอกาสในการเลื่อนตำแหน่งของท่านลดลง],3. ความคิดเห็นต่อผลกระทบของตนเอง [2. ท่านคิดว่านโยบายนี้ส่งผลดีต่อความมั่นคงและรายได้ของท่าน],3. ความคิดเห็นต่อผลกระทบของตนเอง [3. ท่านคิดว่าตนเองจะมีสุขภาพร่างกายและจิตใจที่พร้อมจะทำงานจนถึงอายุ 65 ปี],3. ความคิดเห็นต่อผลกระทบของตนเอง [4. ท่านกังวลว่าสิทธิในการรับบำเหน็จบำนาญของท่านอาจมีการเปลี่ยนแปลงหรือได้รับผลกระทบจากนโยบายนี้],3. ความคิดเห็นต่อผลกระทบของตนเอง [5. ท่านยินดีจะเข้าร่วมนโยบายดังกล่าว หากภาครัฐเปิดโอกาสให้เลือกขยายอายุเกษียณราขการ],1. หากนโยบายขยายอายุเกษียณมีผลบังคับใช้ ท่านคิดว่าควรมีเงื่อนไขหรือมาตรการเพิ่มเติมอย่างไร,2. ท่านมีความกังวลหรือข้อห่วงใยเกี่ยวกับนโยบายนี้หรือไม่ โปรดอธิบาย,3. ท่านมีข้อเสนอแนะอื่นๆ เพิ่มเติมเกี่ยวกับนโยบายขยายอายุเกษียณราชการหรือไม่
2/10/2026 11:35:05,18 - 29 ปี (พ.ศ. 2551 - 2540),0.6,ใช่,(ประเภททั่วไป) ปฏิบัติงาน,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,เคยได้ยินแต่ไม่ทราบรายละเอียด,เพื่อนร่วมงาน,รองรับสังคมผู้สูงอายุ,4,5,5,4,4,4,4,5,5,5,5,5,5,5,3,5,3,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",การเลื่อนขั้นช้าลง,
2/14/2026 13:19:38,30 - 45 ปี (พ.ศ. 2539 -2524),2.5,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท","น้อยกว่า 100,000 บาท",ทราบแต่ไม่แน่ใจในรายละเอียด,"หนังสือพิมพ์ โทรทัศน์, สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน","แก้ไขปัญหาการขาดแคลนกำลังคน, ลดภาระงบประมาณบำเหน็จบำนาญ",4,5,4,5,5,4,4,5,3,4,5,5,4,4,2,3,4,"เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, ปรับลดภาระงานหรือเวลาทํางานสำหรับข้าราชการผู้สูงอายุ, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย",ไม่,ควรปรับสวัสดิการให้สอดคล้องกับอายุข้าราชการ
2/14/2026 20:11:00,18 - 29 ปี (พ.ศ. 2551 - 2540),2.7,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"หนังสือพิมพ์ โทรทัศน์, สื่อออนไลน์ โซเชียลมีเดีย","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ, ลดภาระงบประมาณบำเหน็จบำนาญ",2,5,3,5,5,3,2,5,5,5,5,5,3,5,1,5,1,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย",,
2/16/2026 11:20:36,18 - 29 ปี (พ.ศ. 2551 - 2540),1,ใช่,อื่น ๆ เช่น พนักงานราชการ / outsource,"15,000 - 30,000 บาท","น้อยกว่า 100,000 บาท",ทราบแต่ไม่แน่ใจในรายละเอียด,หนังสือพิมพ์ โทรทัศน์,ใช้ประโยชน์จากประสบการณ์ผู้มีอาวุโส,3,3,2,4,3,3,3,3,3,4,2,3,4,3,1,2,1,เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย,,
2/16/2026 11:29:41,30 - 45 ปี (พ.ศ. 2539 -2524),10,ใช่,(ประเภทวิชาการ) ชำนาญการ,"30,001 - 45,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"หนังสือพิมพ์ โทรทัศน์, สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ",4,4,3,4,4,2,2,4,3,4,4,2,4,2,1,3,2,ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ,"ถ้าเป้าหมายของภาครัฐเพราะกังวลว่า ผู้สุงอายุที่ไม่มีงานทำ จะขาดรายได้ 
ควรไปทดลองใช้กับภาคเอกชนมากกว่า",
2/16/2026 11:45:41,30 - 45 ปี (พ.ศ. 2539 -2524),7 ปี 11 เดือน,ใช่,(ประเภทวิชาการ) ชำนาญการ,"15,000 - 30,000 บาท","มากกว่า 1,000,000 บาท",เคยได้ยินแต่ไม่ทราบรายละเอียด,สื่อออนไลน์ โซเชียลมีเดีย,ลดภาระงบประมาณบำเหน็จบำนาญ,4,3,4,5,3,3,2,2,3,5,3,3,4,5,2,4,2,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",,
2/16/2026 12:14:21,30 - 45 ปี (พ.ศ. 2539 -2524),10 ปี 10 เดือน,ใช่,(ประเภทวิชาการ) ชำนาญการ,"30,001 - 45,000 บาท","มากกว่า 1,000,000 บาท",เคยได้ยินแต่ไม่ทราบรายละเอียด,"เพื่อนร่วมงาน, หน่วยงานที่สังกัด","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ",4,4,4,4,4,4,4,2,4,3,3,3,2,3,4,4,4,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป",,
2/16/2026 13:08:05,30 - 45 ปี (พ.ศ. 2539 -2524),3.1,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท","100,001 - 500,000 บาท",ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน","รองรับสังคมผู้สูงอายุ, ลดภาระงบประมาณบำเหน็จบำนาญ",4,3,4,3,3,5,2,4,3,4,3,3,4,4,1,5,1,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย",,
2/16/2026 20:06:29,30 - 45 ปี (พ.ศ. 2539 -2524),8,ใช่,(ประเภททั่วไป) ปฏิบัติงาน,"15,000 - 30,000 บาท","น้อยกว่า 100,000 บาท",ทราบและเข้าใจรายละเอียดดี,หน่วยงานที่สังกัด,"แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ, ใช้ประโยชน์จากประสบการณ์ผู้มีอาวุโส",2,2,2,4,4,2,2,4,2,4,4,3,4,2,2,2,2,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",ส่งผลต่อการถ่ายทอดงานสู่คนรุ่นหลัง,
2/16/2026 20:32:45,30 - 45 ปี (พ.ศ. 2539 -2524),5,ใช่,อื่น ๆ เช่น พนักงานราชการ / outsource,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เว็บไซต์ราชการ","รองรับสังคมผู้สูงอายุ, ใช้ประโยชน์จากประสบการณ์ผู้มีอาวุโส",1,5,1,3,4,2,2,5,4,4,3,4,2,2,1,3,3,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",-,-
